index	name
1	L_Default_1
2	L_SMhand_1
3	L_SMmouth_1
4	L_Default_2
5	L_Visual_1
6	L_Default_3
7	L_FrontoParietal_1
8	L_Visual_2
9	L_FrontoParietal_2
10	L_Auditory_1
11	L_None_1
12	L_MedialParietal_1
13	L_ParietoOccip_1
14	L_ParietoOccip_2
15	L_Visual_3
16	L_Visual_4
17	L_Visual_5
18	L_None_2
19	L_None_3
20	L_Visual_6
21	L_CinguloOperc_1
22	L_CinguloOperc_2
23	L_VentralAttn_1
24	L_FrontoParietal_3
25	L_Default_4
26	L_Default_5
27	L_CinguloOperc_3
28	L_CinguloOperc_4
29	L_Salience_1
30	L_SMhand_2
31	L_SMhand_3
32	L_SMhand_4
33	L_SMhand_5
34	L_CinguloOperc_5
35	L_SMhand_6
36	L_SMhand_7
37	L_SMhand_8
38	L_SMhand_9
39	L_SMmouth_2
40	L_CinguloOperc_6
41	L_DorsalAttn_1
42	L_DorsalAttn_2
43	L_DorsalAttn_3
44	L_Default_6
45	L_SMhand_10
46	L_SMhand_11
47	L_SMhand_12
48	L_SMhand_13
49	L_DorsalAttn_4
50	L_SMhand_14
51	L_DorsalAttn_5
52	L_DorsalAttn_6
53	L_SMmouth_3
54	L_SMhand_15
55	L_DorsalAttn_7
56	L_SMhand_16
57	L_SMhand_17
58	L_SMhand_18
59	L_SMmouth_4
60	L_VentralAttn_2
61	L_VentralAttn_3
62	L_VentralAttn_4
63	L_CinguloOperc_7
64	L_Auditory_2
65	L_Auditory_3
66	L_Auditory_4
67	L_Auditory_5
68	L_Auditory_6
69	L_Auditory_7
70	L_Auditory_8
71	L_CinguloOperc_8
72	L_CinguloOperc_9
73	L_None_4
74	L_DorsalAttn_8
75	L_VentralAttn_5
76	L_CinguloOperc_10
77	L_Auditory_9
78	L_FrontoParietal_4
79	L_VentralAttn_6
80	L_VentralAttn_7
81	L_CinguloOperc_11
82	L_CinguloOperc_12
83	L_Salience_2
84	L_CinguloOperc_13
85	L_VentralAttn_8
86	L_VentralAttn_9
87	L_DorsalAttn_9
88	L_DorsalAttn_10
89	L_MedialParietal_2
90	L_Visual_7
91	L_DorsalAttn_11
92	L_DorsalAttn_12
93	L_MedialParietal_3
94	L_Default_7
95	L_DorsalAttn_13
96	L_FrontoParietal_5
97	L_Visual_8
98	L_Visual_9
99	L_Visual_10
100	L_DorsalAttn_14
101	L_CinguloOperc_14
102	L_Auditory_10
103	L_CinguloOperc_15
104	L_Auditory_11
105	L_CinguloOperc_16
106	L_DorsalAttn_15
107	L_DorsalAttn_16
108	L_FrontoParietal_6
109	L_FrontoParietal_7
110	L_DorsalAttn_17
111	L_CinguloOperc_17
112	L_CinguloOperc_18
113	L_DorsalAttn_18
114	L_Default_8
115	L_None_5
116	L_Default_9
117	L_Default_10
118	L_None_6
119	L_None_7
120	L_None_8
121	L_None_9
122	L_None_10
123	L_None_11
124	L_None_12
125	L_None_13
126	L_Default_11
127	L_Default_12
128	L_None_14
129	L_None_15
130	L_ParietoOccip_3
131	L_Visual_11
132	L_Visual_12
133	L_None_16
134	L_None_17
135	L_None_18
136	L_Visual_13
137	L_Visual_14
138	L_Visual_15
139	L_Visual_16
140	L_Visual_17
141	L_Visual_18
142	L_None_19
143	L_ParietoOccip_4
144	L_None_20
145	L_Default_13
146	L_Default_14
147	L_CinguloOperc_19
148	L_FrontoParietal_8
149	L_FrontoParietal_9
150	L_Default_15
151	L_Default_16
152	L_Default_17
153	L_CinguloOperc_20
154	L_Default_18
155	L_DorsalAttn_19
156	L_Default_19
157	L_Default_20
158	L_VentralAttn_10
159	L_None_21
160	L_Auditory_12
161	L_VentralAttn_11
162	R_Default_21
163	R_SMhand_19
164	R_SMmouth_5
165	R_Default_22
166	R_Visual_19
167	R_FrontoParietal_10
168	R_FrontoParietal_11
169	R_Visual_20
170	R_FrontoParietal_12
171	R_Auditory_13
172	R_None_22
173	R_MedialParietal_4
174	R_ParietoOccip_5
175	R_Visual_21
176	R_Visual_22
177	R_Visual_23
178	R_None_23
179	R_None_24
180	R_CinguloOperc_21
181	R_CinguloOperc_22
182	R_FrontoParietal_13
183	R_Salience_3
184	R_Default_23
185	R_CinguloOperc_23
186	R_Default_24
187	R_CinguloOperc_24
188	R_CinguloOperc_25
189	R_DorsalAttn_20
190	R_SMhand_20
191	R_SMhand_21
192	R_CinguloOperc_26
193	R_SMhand_22
194	R_SMhand_23
195	R_SMhand_24
196	R_CinguloOperc_27
197	R_SMmouth_6
198	R_CinguloOperc_28
199	R_DorsalAttn_21
200	R_Default_25
201	R_SMhand_25
202	R_SMhand_26
203	R_DorsalAttn_22
204	R_SMhand_27
205	R_SMhand_28
206	R_SMhand_29
207	R_SMhand_30
208	R_DorsalAttn_23
209	R_SMhand_31
210	R_SMhand_32
211	R_DorsalAttn_24
212	R_SMmouth_7
213	R_SMhand_33
214	R_SMhand_34
215	R_SMhand_35
216	R_SMhand_36
217	R_SMhand_37
218	R_SMmouth_8
219	R_CinguloOperc_29
220	R_Default_26
221	R_VentralAttn_12
222	R_VentralAttn_13
223	R_CinguloOperc_30
224	R_Auditory_14
225	R_Default_27
226	R_VentralAttn_14
227	R_Auditory_15
228	R_VentralAttn_15
229	R_VentralAttn_16
230	R_Auditory_16
231	R_VentralAttn_17
232	R_Auditory_17
233	R_Auditory_18
234	R_CinguloOperc_31
235	R_CinguloOperc_32
236	R_DorsalAttn_25
237	R_VentralAttn_18
238	R_CinguloOperc_33
239	R_Auditory_19
240	R_FrontoParietal_14
241	R_VentralAttn_19
242	R_VentralAttn_20
243	R_VentralAttn_21
244	R_Auditory_20
245	R_CinguloOperc_34
246	R_CinguloOperc_35
247	R_Salience_4
248	R_CinguloOperc_36
249	R_CinguloOperc_37
250	R_DorsalAttn_26
251	R_Visual_24
252	R_DorsalAttn_27
253	R_DorsalAttn_28
254	R_MedialParietal_5
255	R_Visual_25
256	R_Visual_26
257	R_Default_28
258	R_Visual_27
259	R_Default_29
260	R_FrontoParietal_15
261	R_FrontoParietal_16
262	R_DorsalAttn_29
263	R_Visual_28
264	R_Visual_29
265	R_Visual_30
266	R_DorsalAttn_30
267	R_Visual_31
268	R_Auditory_21
269	R_Auditory_22
270	R_SMhand_38
271	R_DorsalAttn_31
272	R_FrontoParietal_17
273	R_FrontoParietal_18
274	R_CinguloOperc_38
275	R_DorsalAttn_32
276	R_FrontoParietal_19
277	R_FrontoParietal_20
278	R_Default_30
279	R_Default_31
280	R_None_25
281	R_None_26
282	R_None_27
283	R_None_28
284	R_None_29
285	R_None_30
286	R_None_31
287	R_None_32
288	R_None_33
289	R_None_34
290	R_Default_32
291	R_None_35
292	R_None_36
293	R_Visual_32
294	R_ParietoOccip_6
295	R_ParietoOccip_7
296	R_None_37
297	R_None_38
298	R_Visual_33
299	R_Visual_34
300	R_None_39
301	R_None_40
302	R_None_41
303	R_None_42
304	R_None_43
305	R_None_44
306	R_None_45
307	R_Visual_35
308	R_Visual_36
309	R_Visual_37
310	R_Visual_38
311	R_Visual_39
312	R_None_46
313	R_ParietoOccip_8
314	R_None_47
315	R_Default_33
316	R_Default_34
317	R_CinguloOperc_39
318	R_CinguloOperc_40
319	R_FrontoParietal_21
320	R_FrontoParietal_22
321	R_Default_35
322	R_Default_36
323	R_Default_37
324	R_Default_38
325	R_Default_39
326	R_Default_40
327	R_FrontoParietal_23
328	R_FrontoParietal_24
329	R_Auditory_23
330	R_Auditory_24
331	R_Default_41
332	R_VentralAttn_22
333	R_VentralAttn_23
