index	name	red	green	blue	alpha
89	7Networks_RH_Cont_pCun_1	234.0	148.0	39.0	255.0
90	7Networks_RH_Default_Par_1	209.0	62.0	78.0	255.0
91	7Networks_RH_Default_Temp_1	209.0	61.0	79.0	255.0
92	7Networks_RH_Default_Temp_2	209.0	61.0	80.0	255.0
93	7Networks_RH_Default_Temp_3	209.0	61.0	81.0	255.0
94	7Networks_RH_Default_PFCv_1	209.0	61.0	78.0	255.0
95	7Networks_RH_Default_PFCv_2	209.0	61.0	82.0	255.0
96	7Networks_RH_Default_PFCdPFCm_1	208.0	62.0	79.0	255.0
97	7Networks_RH_Default_PFCdPFCm_2	208.0	62.0	80.0	255.0
98	7Networks_RH_Default_PFCdPFCm_3	208.0	62.0	81.0	255.0
99	7Networks_RH_Default_pCunPCC_1	208.0	62.0	78.0	255.0
100	7Networks_RH_Default_pCunPCC_2	208.0	62.0	82.0	255.0
