index	name	red	green	blue	alpha
1	7Networks_LH_Vis_1	120.0	14.0	127.0	255.0
2	7Networks_LH_Vis_2	120.0	14.0	128.0	255.0
3	7Networks_LH_Vis_3	120.0	14.0	129.0	255.0
4	7Networks_LH_Vis_4	120.0	14.0	130.0	255.0
5	7Networks_LH_Vis_5	120.0	14.0	131.0	255.0
6	7Networks_LH_Vis_6	120.0	14.0	132.0	255.0
7	7Networks_LH_Vis_7	120.0	14.0	133.0	255.0
8	7Networks_LH_Vis_8	120.0	14.0	134.0	255.0
9	7Networks_LH_Vis_9	120.0	15.0	127.0	255.0
10	7Networks_LH_Vis_10	120.0	15.0	128.0	255.0
11	7Networks_LH_Vis_11	120.0	15.0	129.0	255.0
12	7Networks_LH_Vis_12	120.0	15.0	130.0	255.0
13	7Networks_LH_Vis_13	120.0	15.0	131.0	255.0
14	7Networks_LH_Vis_14	120.0	15.0	132.0	255.0
15	7Networks_LH_Vis_15	120.0	15.0	133.0	255.0
16	7Networks_LH_Vis_16	120.0	15.0	134.0	255.0
17	7Networks_LH_Vis_17	120.0	16.0	127.0	255.0
18	7Networks_LH_Vis_18	120.0	16.0	128.0	255.0
19	7Networks_LH_Vis_19	120.0	16.0	129.0	255.0
20	7Networks_LH_Vis_20	120.0	16.0	130.0	255.0
21	7Networks_LH_Vis_21	120.0	16.0	131.0	255.0
22	7Networks_LH_Vis_22	120.0	16.0	132.0	255.0
23	7Networks_LH_Vis_23	120.0	16.0	133.0	255.0
24	7Networks_LH_Vis_24	120.0	16.0	134.0	255.0
25	7Networks_LH_Vis_25	120.0	17.0	127.0	255.0
26	7Networks_LH_Vis_26	120.0	17.0	128.0	255.0
27	7Networks_LH_Vis_27	120.0	17.0	129.0	255.0
28	7Networks_LH_Vis_28	120.0	17.0	130.0	255.0
29	7Networks_LH_Vis_29	120.0	17.0	131.0	255.0
30	7Networks_LH_Vis_30	120.0	17.0	132.0	255.0
31	7Networks_LH_Vis_31	120.0	17.0	133.0	255.0
32	7Networks_LH_Vis_32	120.0	17.0	134.0	255.0
33	7Networks_LH_Vis_33	120.0	18.0	127.0	255.0
34	7Networks_LH_Vis_34	120.0	18.0	128.0	255.0
35	7Networks_LH_Vis_35	120.0	18.0	129.0	255.0
36	7Networks_LH_Vis_36	120.0	18.0	130.0	255.0
37	7Networks_LH_Vis_37	120.0	18.0	131.0	255.0
38	7Networks_LH_Vis_38	120.0	18.0	132.0	255.0
39	7Networks_LH_Vis_39	120.0	18.0	133.0	255.0
40	7Networks_LH_Vis_40	120.0	18.0	135.0	255.0
41	7Networks_LH_Vis_41	120.0	18.0	136.0	255.0
42	7Networks_LH_Vis_42	120.0	18.0	137.0	255.0
43	7Networks_LH_Vis_43	120.0	18.0	138.0	255.0
