index	name	red	green	blue	alpha
94	7Networks_LH_SalVentAttn_ParOper_3	196.0	58.0	253.0	255.0
95	7Networks_LH_SalVentAttn_ParOper_4	196.0	58.0	254.0	255.0
96	7Networks_LH_SalVentAttn_TempOcc_1	196.0	58.0	255.0	255.0
97	7Networks_LH_SalVentAttn_FrOperIns_1	196.0	59.0	247.0	255.0
98	7Networks_LH_SalVentAttn_FrOperIns_2	196.0	59.0	248.0	255.0
99	7Networks_LH_SalVentAttn_FrOperIns_3	196.0	59.0	249.0	255.0
100	7Networks_LH_SalVentAttn_FrOperIns_4	196.0	59.0	251.0	255.0
101	7Networks_LH_SalVentAttn_FrOperIns_5	196.0	59.0	252.0	255.0
102	7Networks_LH_SalVentAttn_FrOperIns_6	196.0	59.0	253.0	255.0
103	7Networks_LH_SalVentAttn_FrOperIns_7	196.0	59.0	254.0	255.0
104	7Networks_LH_SalVentAttn_FrOperIns_8	196.0	59.0	255.0	255.0
105	7Networks_LH_SalVentAttn_FrOperIns_9	193.0	52.0	250.0	255.0
106	7Networks_LH_SalVentAttn_PFCl_1	193.0	52.0	249.0	255.0
107	7Networks_LH_SalVentAttn_Med_1	197.0	58.0	248.0	255.0
108	7Networks_LH_SalVentAttn_Med_2	197.0	58.0	249.0	255.0
109	7Networks_LH_SalVentAttn_Med_3	197.0	58.0	251.0	255.0
110	7Networks_LH_SalVentAttn_Med_4	197.0	58.0	252.0	255.0
111	7Networks_LH_SalVentAttn_Med_5	197.0	58.0	253.0	255.0
112	7Networks_LH_SalVentAttn_Med_6	197.0	58.0	254.0	255.0
113	7Networks_LH_SalVentAttn_Med_7	197.0	58.0	255.0	255.0
114	7Networks_LH_Limbic_OFC_1	220.0	248.0	163.0	255.0
115	7Networks_LH_Limbic_OFC_2	220.0	248.0	165.0	255.0
116	7Networks_LH_Limbic_OFC_3	220.0	248.0	166.0	255.0
117	7Networks_LH_Limbic_OFC_4	220.0	248.0	167.0	255.0
118	7Networks_LH_Limbic_OFC_5	220.0	248.0	168.0	255.0
119	7Networks_LH_Limbic_TempPole_1	220.0	248.0	164.0	255.0
120	7Networks_LH_Limbic_TempPole_2	220.0	248.0	169.0	255.0
121	7Networks_LH_Limbic_TempPole_3	220.0	248.0	170.0	255.0
