index	name	color
65793	Background+FreeSurfer_Defined_Medial_Wall	#010101ff
8917884	17Networks_RH_VisCent_ExStr_1	#7c1388ff
8983420	17Networks_RH_VisCent_ExStr_2	#7c1389ff
9048956	17Networks_RH_VisCent_ExStr_3	#7c138aff
131322	17Networks_RH_VisPeri_StriCal_1	#fa0002ff
196858	17Networks_RH_VisPeri_ExStrInf_1	#fa0003ff
262394	17Networks_RH_VisPeri_ExStrSup_1	#fa0004ff
11961162	17Networks_RH_SomMotA_1	#4a83b6ff
12026698	17Networks_RH_SomMotA_2	#4a83b7ff
12092234	17Networks_RH_SomMotA_3	#4a83b8ff
12157770	17Networks_RH_SomMotA_4	#4a83b9ff
10865967	17Networks_RH_SomMotB_Aud_1	#2fcda5ff
10931503	17Networks_RH_SomMotB_S2_1	#2fcda6ff
10997039	17Networks_RH_SomMotB_S2_2	#2fcda7ff
11062575	17Networks_RH_SomMotB_Cent_1	#2fcda8ff
4102991	17Networks_RH_DorsAttnA_TempOcc_1	#4f9b3eff
4168527	17Networks_RH_DorsAttnA_ParOcc_1	#4f9b3fff
4234063	17Networks_RH_DorsAttnA_SPL_1	#4f9b40ff
1078789	17Networks_RH_DorsAttnB_PostC_1	#057610ff
1144325	17Networks_RH_DorsAttnB_PostC_2	#057611ff
1013509	17Networks_RH_DorsAttnB_FEF_1	#05770fff
16399048	17Networks_RH_SalVentAttnA_ParOper_1	#c83afaff
16464583	17Networks_RH_SalVentAttnA_Ins_1	#c73afbff
16464327	17Networks_RH_SalVentAttnA_ParMed_1	#c739fbff
16529863	17Networks_RH_SalVentAttnA_FrMed_1	#c739fcff
14063866	17Networks_RH_SalVentAttnB_IPL_1	#fa98d6ff
14063610	17Networks_RH_SalVentAttnB_PFCl_1	#fa97d6ff
14064122	17Networks_RH_SalVentAttnB_PFCmp_1	#fa99d6ff
3442558	17Networks_RH_LimbicB_OFC_1	#7e8734ff
10942688	17Networks_RH_LimbicA_TempPole_1	#e0f8a6ff
2331626	17Networks_RH_ContA_IPS_1	#ea9323ff
2331881	17Networks_RH_ContA_PFCl_1	#e99423ff
2397417	17Networks_RH_ContA_PFCl_2	#e99424ff
4993932	17Networks_RH_ContB_Temp_1	#8c334cff
4862603	17Networks_RH_ContB_IPL_1	#8b324aff
4927883	17Networks_RH_ContB_PFCld_1	#8b314bff
4862347	17Networks_RH_ContB_PFClv_1	#8b314aff
11636091	17Networks_RH_ContC_Cingp_1	#7b8db1ff
11701627	17Networks_RH_ContC_pCun_1	#7b8db2ff
196347	17Networks_RH_DefaultA_IPL_1	#fbfe02ff
262139	17Networks_RH_DefaultA_PFCd_1	#fbff03ff
130555	17Networks_RH_DefaultA_pCunPCC_1	#fbfd01ff
131065	17Networks_RH_DefaultA_PFCm_1	#f9ff01ff
5259218	17Networks_RH_DefaultB_PFCd_1	#d23f50ff
5127889	17Networks_RH_DefaultB_PFCv_1	#d13e4eff
5193425	17Networks_RH_DefaultB_PFCv_2	#d13e4fff
8585221	17Networks_RH_DefaultC_Rsp_1	#050083ff
8650757	17Networks_RH_DefaultC_PHC_1	#050084ff
16723984	17Networks_RH_TempPar_1	#1030ffff
16394509	17Networks_RH_TempPar_2	#0d29faff
16460045	17Networks_RH_TempPar_3	#0d29fbff
