index	name	color
657930	Background	#0a0a0aff
65535	17networks_LH_DefaultA_PFCm_1	#ffff00ff
131071	17networks_LH_DefaultA_TempPole_1	#ffff01ff
196607	17networks_LH_DefaultA_pCunPCC_1	#ffff02ff
4996813	17networks_LH_DefaultB_FPole_1	#cd3e4cff
5062349	17networks_LH_DefaultB_IPL_1	#cd3e4dff
5127885	17networks_LH_DefaultB_Ins_1	#cd3e4eff
5193421	17networks_LH_DefaultB_PFCd_1	#cd3e4fff
5258957	17networks_LH_DefaultB_PFCl_1	#cd3e50ff
5324493	17networks_LH_DefaultB_Temp_1	#cd3e51ff
8454144	17networks_LH_DefaultC_PFCd_1	#000081ff
8519680	17networks_LH_DefaultC_PHC_1	#000082ff
8585216	17networks_LH_DefaultC_RSC_1	#000083ff
16723980	17networks_LH_Language_IFG_1	#0c30ffff
16394505	17networks_LH_Language_Temp_1	#0929faff
2266342	17networks_LH_ContA_IPS_1	#e69422ff
2331878	17networks_LH_ContA_PFCl_1	#e69423ff
4862599	17networks_LH_ContB_OFC_1	#87324aff
4928135	17networks_LH_ContB_Temp_1	#87324bff
11570295	17networks_LH_ContC_Cingp_1	#778cb0ff
11635831	17networks_LH_ContC_pCun_1	#778cb1ff
16333508	17networks_LH_SalVenAttnA_FrMed_1	#c43af9ff
16399044	17networks_LH_SalVenAttnA_Ins_1	#c43afaff
16464580	17networks_LH_SalVenAttnA_PFCmp_1	#c43afbff
16530116	17networks_LH_SalVenAttnA_SPL_1	#c43afcff
13932799	17networks_LH_SalVenAttnB_IPL_1	#ff98d4ff
13998335	17networks_LH_SalVenAttnB_Ins_1	#ff98d5ff
14063871	17networks_LH_SalVenAttnB_PFCl_1	#ff98d6ff
3840842	17networks_LH_DorsAttnA_IPL_1	#4a9b3aff
3906378	17networks_LH_DorsAttnA_PrCv_1	#4a9b3bff
3971914	17networks_LH_DorsAttnA_SPL_1	#4a9b3cff
4037450	17networks_LH_DorsAttnA_SPL_2	#4a9b3dff
4102986	17networks_LH_DorsAttnA_TempOcc_1	#4a9b3eff
882176	17networks_LH_DorsAttnB_PostC_1	#00760dff
947712	17networks_LH_DorsAttnB_PrCd_1	#00760eff
1013248	17networks_LH_DorsAttnB_SPL_1	#00760fff
10811612	17networks_LH_Aud_ST_1	#dcf8a4ff
10877148	17networks_LH_Aud_Temp_1	#dcf8a5ff
11829830	17networks_LH_SomMotA_1	#4682b4ff
11895366	17networks_LH_SomMotA_2	#4682b5ff
10734634	17networks_LH_SomMotB_Ins_1	#2acca3ff
10800170	17networks_LH_SomMotB_1	#2acca4ff
10865706	17networks_LH_SomMotB_2	#2acca5ff
8721016	17networks_LH_VisualA_ExStr_1	#781285ff
8786552	17networks_LH_VisualA_ExStr_2	#781286ff
8852088	17networks_LH_VisualA_ExStr_3	#781287ff
255	17networks_LH_VisualB_ExStrInf_1	#ff0000ff
65791	17networks_LH_VisualB_ExStrSup_1	#ff0001ff
131327	17networks_LH_VisualB_Striate_1	#ff0002ff
3311482	17networks_LH_VisualC_ExStr_1	#7a8732ff
3377018	17networks_LH_VisualC_Striate_1	#7a8733ff
