index	name	color
65793	Background+FreeSurfer_Defined_Medial_Wall	#010101ff
8786812	17Networks_RH_VisCent_ExStr_1	#7c1386ff
8917884	17Networks_RH_VisCent_ExStr_2	#7c1388ff
8983420	17Networks_RH_VisCent_Striate_1	#7c1389ff
9048956	17Networks_RH_VisCent_ExStr_3	#7c138aff
9114492	17Networks_RH_VisCent_ExStr_4	#7c138bff
9180028	17Networks_RH_VisCent_ExStr_5	#7c138cff
250	17Networks_RH_VisPeri_ExStrInf_1	#fa0000ff
131322	17Networks_RH_VisPeri_ExStrInf_2	#fa0002ff
196858	17Networks_RH_VisPeri_StriCal_1	#fa0003ff
262394	17Networks_RH_VisPeri_ExStrSup_1	#fa0004ff
327930	17Networks_RH_VisPeri_ExStrSup_2	#fa0005ff
393466	17Networks_RH_VisPeri_ExStrSup_3	#fa0006ff
11633482	17Networks_RH_SomMotA_1	#4a83b1ff
11699018	17Networks_RH_SomMotA_2	#4a83b2ff
11764554	17Networks_RH_SomMotA_3	#4a83b3ff
11830090	17Networks_RH_SomMotA_4	#4a83b4ff
11961162	17Networks_RH_SomMotA_5	#4a83b6ff
12026698	17Networks_RH_SomMotA_6	#4a83b7ff
12092234	17Networks_RH_SomMotA_7	#4a83b8ff
12157770	17Networks_RH_SomMotA_8	#4a83b9ff
12223306	17Networks_RH_SomMotA_9	#4a83baff
12288842	17Networks_RH_SomMotA_10	#4a83bbff
12354378	17Networks_RH_SomMotA_11	#4a83bcff
10669359	17Networks_RH_SomMotB_Aud_1	#2fcda2ff
10734895	17Networks_RH_SomMotB_Aud_2	#2fcda3ff
10865967	17Networks_RH_SomMotB_S2_1	#2fcda5ff
10931503	17Networks_RH_SomMotB_S2_2	#2fcda6ff
10997039	17Networks_RH_SomMotB_S2_3	#2fcda7ff
11062575	17Networks_RH_SomMotB_S2_4	#2fcda8ff
11128111	17Networks_RH_SomMotB_Cent_1	#2fcda9ff
4103246	17Networks_RH_DorsAttnA_TempOcc_1	#4e9c3eff
4168782	17Networks_RH_DorsAttnA_ParOcc_1	#4e9c3fff
4102991	17Networks_RH_DorsAttnA_SPL_1	#4f9b3eff
4168527	17Networks_RH_DorsAttnA_SPL_2	#4f9b3fff
4234063	17Networks_RH_DorsAttnA_SPL_3	#4f9b40ff
4299599	17Networks_RH_DorsAttnA_SPL_4	#4f9b41ff
1078789	17Networks_RH_DorsAttnB_PostC_1	#057610ff
1144325	17Networks_RH_DorsAttnB_PostC_2	#057611ff
1209861	17Networks_RH_DorsAttnB_PostC_3	#057612ff
1275397	17Networks_RH_DorsAttnB_PostC_4	#057613ff
1013509	17Networks_RH_DorsAttnB_FEF_1	#05770fff
16399048	17Networks_RH_SalVentAttnA_ParOper_1	#c83afaff
16464328	17Networks_RH_SalVentAttnA_PrC_1	#c839fbff
16464583	17Networks_RH_SalVentAttnA_Ins_1	#c73afbff
16530119	17Networks_RH_SalVentAttnA_Ins_2	#c73afcff
16595655	17Networks_RH_SalVentAttnA_FrOper_1	#c73afdff
16464327	17Networks_RH_SalVentAttnA_FrMed_1	#c739fbff
16529863	17Networks_RH_SalVentAttnA_ParMed_1	#c739fcff
16595399	17Networks_RH_SalVentAttnA_ParMed_2	#c739fdff
16660935	17Networks_RH_SalVentAttnA_FrMed_2	#c739feff
14063866	17Networks_RH_SalVentAttnB_IPL_1	#fa98d6ff
14063610	17Networks_RH_SalVentAttnB_PFClv_1	#fa97d6ff
14129146	17Networks_RH_SalVentAttnB_PFCl_1	#fa97d7ff
14129402	17Networks_RH_SalVentAttnB_Ins_1	#fa98d7ff
14194938	17Networks_RH_SalVentAttnB_Ins_2	#fa98d8ff
14064122	17Networks_RH_SalVentAttnB_PFCmp_1	#fa99d6ff
3442558	17Networks_RH_LimbicB_OFC_1	#7e8734ff
3508094	17Networks_RH_LimbicB_OFC_2	#7e8735ff
3573630	17Networks_RH_LimbicB_OFC_3	#7e8736ff
3639166	17Networks_RH_LimbicB_OFC_4	#7e8737ff
10942688	17Networks_RH_LimbicA_TempPole_1	#e0f8a6ff
11008224	17Networks_RH_LimbicA_TempPole_2	#e0f8a7ff
11073760	17Networks_RH_LimbicA_TempPole_3	#e0f8a8ff
11139296	17Networks_RH_LimbicA_TempPole_4	#e0f8a9ff
2331626	17Networks_RH_ContA_IPS_1	#ea9323ff
2397162	17Networks_RH_ContA_IPS_2	#ea9324ff
2266090	17Networks_RH_ContA_PFCd_1	#ea9322ff
2331881	17Networks_RH_ContA_PFCl_1	#e99423ff
2397417	17Networks_RH_ContA_PFCl_2	#e99424ff
2266345	17Networks_RH_ContA_Cingm_1	#e99422ff
4993932	17Networks_RH_ContB_Temp_1	#8c334cff
5059468	17Networks_RH_ContB_Temp_2	#8c334dff
4862603	17Networks_RH_ContB_IPL_1	#8b324aff
4928139	17Networks_RH_ContB_IPL_2	#8b324bff
4927883	17Networks_RH_ContB_PFCld_1	#8b314bff
4993419	17Networks_RH_ContB_PFCld_2	#8b314cff
4862347	17Networks_RH_ContB_PFClv_1	#8b314aff
5058955	17Networks_RH_ContB_PFClv_2	#8b314dff
4928138	17Networks_RH_ContB_PFCmp_1	#8a324bff
4993674	17Networks_RH_ContB_PFCld_3	#8a324cff
11636091	17Networks_RH_ContC_pCun_1	#7b8db1ff
11701627	17Networks_RH_ContC_pCun_2	#7b8db2ff
11767163	17Networks_RH_ContC_Cingp_1	#7b8db3ff
196347	17Networks_RH_DefaultA_IPL_1	#fbfe02ff
262139	17Networks_RH_DefaultA_PFCd_1	#fbff03ff
130555	17Networks_RH_DefaultA_pCunPCC_1	#fbfd01ff
131065	17Networks_RH_DefaultA_PFCm_1	#f9ff01ff
196601	17Networks_RH_DefaultA_PFCm_2	#f9ff02ff
262137	17Networks_RH_DefaultA_PFCm_3	#f9ff03ff
5258962	17Networks_RH_DefaultB_Temp_1	#d23e50ff
5193682	17Networks_RH_DefaultB_AntTemp_1	#d23f4fff
5259218	17Networks_RH_DefaultB_PFCd_1	#d23f50ff
5127889	17Networks_RH_DefaultB_PFCv_1	#d13e4eff
8651012	17Networks_RH_DefaultC_IPL_1	#040184ff
8585221	17Networks_RH_DefaultC_Rsp_1	#050083ff
8650757	17Networks_RH_DefaultC_PHC_1	#050084ff
16723984	17Networks_RH_TempPar_1	#1030ffff
16394509	17Networks_RH_TempPar_2	#0d29faff
16460045	17Networks_RH_TempPar_3	#0d29fbff
16525581	17Networks_RH_TempPar_4	#0d29fcff
