index	name	color
657930	Background	#0a0a0aff
65535	17networks_RH_DefaultA_IPL_1	#ffff00ff
131071	17networks_RH_DefaultA_PFCd_1	#ffff01ff
196607	17networks_RH_DefaultA_PFCm_1	#ffff02ff
262143	17networks_RH_DefaultA_TempPole_1	#ffff03ff
327679	17networks_RH_DefaultA_pCunPCC_1	#ffff04ff
5127885	17networks_RH_DefaultB_PFCd_1	#cd3e4eff
5193421	17networks_RH_DefaultB_TempPole_1	#cd3e4fff
8454144	17networks_RH_DefaultC_PHC_1	#000081ff
8519680	17networks_RH_DefaultC_ParOcc_1	#000082ff
8585216	17networks_RH_DefaultC_RSC_1	#000083ff
8650752	17networks_RH_DefaultC_pCun_1	#000084ff
16723980	17networks_RH_Language_IFG_1	#0c30ffff
16394505	17networks_RH_Language_Temp_1	#0929faff
2266342	17networks_RH_ContA_IPS_1	#e69422ff
2331878	17networks_RH_ContA_PFCl_1	#e69423ff
4797063	17networks_RH_ContB_FPole_1	#873249ff
4862599	17networks_RH_ContB_IPL_1	#87324aff
4928135	17networks_RH_ContB_PFCl_1	#87324bff
4993671	17networks_RH_ContB_Temp_1	#87324cff
11504759	17networks_RH_ContC_Cingp_1	#778cafff
11570295	17networks_RH_ContC_OFC_1	#778cb0ff
11635831	17networks_RH_ContC_PFCmp_1	#778cb1ff
11701367	17networks_RH_ContC_PFCv_1	#778cb2ff
16333508	17networks_RH_SalVenAttnA_FrMed_1	#c43af9ff
16399044	17networks_RH_SalVenAttnA_IPL_1	#c43afaff
16464580	17networks_RH_SalVenAttnA_SPL_1	#c43afbff
13867263	17networks_RH_SalVenAttnB_IPL_1	#ff98d3ff
13932799	17networks_RH_SalVenAttnB_Ins_1	#ff98d4ff
13998335	17networks_RH_SalVenAttnB_PFCl_1	#ff98d5ff
14063871	17networks_RH_SalVenAttnB_PFCl_2	#ff98d6ff
14129407	17networks_RH_SalVenAttnB_Temp_1	#ff98d7ff
3971914	17networks_RH_DorsAttnA_SPL_1	#4a9b3cff
882176	17networks_RH_DorsAttnB_PostC_1	#00760dff
947712	17networks_RH_DorsAttnB_PrCd_1	#00760eff
1013248	17networks_RH_DorsAttnB_SPL_1	#00760fff
10811612	17networks_RH_Aud_ST_1	#dcf8a4ff
11764294	17networks_RH_SomMotA_1	#4682b3ff
11829830	17networks_RH_SomMotA_2	#4682b4ff
11895366	17networks_RH_SomMotA_3	#4682b5ff
10734634	17networks_RH_SomMotB_Ins_1	#2acca3ff
10800170	17networks_RH_SomMotB_1	#2acca4ff
10865706	17networks_RH_SomMotB_2	#2acca5ff
10931242	17networks_RH_SomMotB_3	#2acca6ff
8721016	17networks_RH_VisualA_ExStr_1	#781285ff
8786552	17networks_RH_VisualA_ExStr_2	#781286ff
8852088	17networks_RH_VisualA_ExStr_3	#781287ff
255	17networks_RH_VisualB_ExStrSup_1	#ff0000ff
65791	17networks_RH_VisualB_Striate_1	#ff0001ff
131327	17networks_RH_VisualB_Striate_2	#ff0002ff
3311482	17networks_RH_VisualC_ExStr_1	#7a8732ff
