index	name	color
65793	Background+FreeSurfer_Defined_Medial_Wall	#010101ff
8590200	17Networks_RH_VisCent_ExStr_1	#781383ff
8655736	17Networks_RH_VisCent_ExStr_2	#781384ff
8721272	17Networks_RH_VisCent_ExStr_3	#781385ff
8786808	17Networks_RH_VisCent_ExStr_4	#781386ff
8917880	17Networks_RH_VisCent_ExStr_5	#781388ff
8983416	17Networks_RH_VisCent_ExStr_6	#781389ff
9048952	17Networks_RH_VisCent_Striate_1	#78138aff
9114488	17Networks_RH_VisCent_ExStr_7	#78138bff
9180024	17Networks_RH_VisCent_ExStr_8	#78138cff
9245560	17Networks_RH_VisCent_ExStr_9	#78138dff
9311096	17Networks_RH_VisCent_ExStr_10	#78138eff
254	17Networks_RH_VisPeri_ExStrInf_1	#fe0000ff
131326	17Networks_RH_VisPeri_ExStrInf_2	#fe0002ff
196862	17Networks_RH_VisPeri_ExStrInf_3	#fe0003ff
262398	17Networks_RH_VisPeri_ExStrInf_4	#fe0004ff
327934	17Networks_RH_VisPeri_StriCal_1	#fe0005ff
393470	17Networks_RH_VisPeri_StriCal_2	#fe0006ff
459006	17Networks_RH_VisPeri_ExStrSup_1	#fe0007ff
524542	17Networks_RH_VisPeri_ExStrSup_2	#fe0008ff
66046	17Networks_RH_VisPeri_ExStrSup_3	#fe0101ff
11502406	17Networks_RH_SomMotA_1	#4683afff
11567942	17Networks_RH_SomMotA_2	#4683b0ff
11633478	17Networks_RH_SomMotA_3	#4683b1ff
11699014	17Networks_RH_SomMotA_4	#4683b2ff
11764550	17Networks_RH_SomMotA_5	#4683b3ff
11830086	17Networks_RH_SomMotA_6	#4683b4ff
11961158	17Networks_RH_SomMotA_7	#4683b6ff
12026694	17Networks_RH_SomMotA_8	#4683b7ff
12092230	17Networks_RH_SomMotA_9	#4683b8ff
12157766	17Networks_RH_SomMotA_10	#4683b9ff
12223302	17Networks_RH_SomMotA_11	#4683baff
12288838	17Networks_RH_SomMotA_12	#4683bbff
12354374	17Networks_RH_SomMotA_13	#4683bcff
11895878	17Networks_RH_SomMotA_14	#4684b5ff
11961414	17Networks_RH_SomMotA_15	#4684b6ff
10603819	17Networks_RH_SomMotB_Aud_1	#2bcda1ff
10669355	17Networks_RH_SomMotB_S2_1	#2bcda2ff
10734891	17Networks_RH_SomMotB_S2_2	#2bcda3ff
