index	name	color
65793	Background+FreeSurfer_Defined_Medial_Wall	#010101ff
8917624	17Networks_LH_VisCent_ExStr_1	#781288ff
8983160	17Networks_LH_VisCent_ExStr_2	#781289ff
9048696	17Networks_LH_VisCent_Striate_1	#78128aff
9114232	17Networks_LH_VisCent_ExStr_3	#78128bff
131327	17Networks_LH_VisPeri_ExStrInf_1	#ff0002ff
196863	17Networks_LH_VisPeri_StriCal_1	#ff0003ff
262399	17Networks_LH_VisPeri_ExStrSup_1	#ff0004ff
11895366	17Networks_LH_SomMotA_1	#4682b5ff
11960902	17Networks_LH_SomMotA_2	#4682b6ff
10865707	17Networks_LH_SomMotB_Aud_1	#2bcca5ff
10931243	17Networks_LH_SomMotB_S2_1	#2bcca6ff
10996779	17Networks_LH_SomMotB_S2_2	#2bcca7ff
11062315	17Networks_LH_SomMotB_Cent_1	#2bcca8ff
4037706	17Networks_LH_DorsAttnA_TempOcc_1	#4a9c3dff
4103242	17Networks_LH_DorsAttnA_ParOcc_1	#4a9c3eff
4168778	17Networks_LH_DorsAttnA_SPL_1	#4a9c3fff
1078784	17Networks_LH_DorsAttnB_PostC_1	#007610ff
1144320	17Networks_LH_DorsAttnB_PostC_2	#007611ff
1209856	17Networks_LH_DorsAttnB_PostC_3	#007612ff
1013504	17Networks_LH_DorsAttnB_FEF_1	#00770fff
16464580	17Networks_LH_SalVentAttnA_ParOper_1	#c43afbff
16464836	17Networks_LH_SalVentAttnA_Ins_1	#c43bfbff
16530372	17Networks_LH_SalVentAttnA_Ins_2	#c43bfcff
16595908	17Networks_LH_SalVentAttnA_ParMed_1	#c43bfdff
16464581	17Networks_LH_SalVentAttnA_FrMed_1	#c53afbff
14064127	17Networks_LH_SalVentAttnB_PFCl_1	#ff99d6ff
14063615	17Networks_LH_SalVentAttnB_PFCmp_1	#ff97d6ff
3377018	17Networks_LH_LimbicB_OFC_1	#7a8733ff
10877148	17Networks_LH_LimbicA_TempPole_1	#dcf8a5ff
10942684	17Networks_LH_LimbicA_TempPole_2	#dcf8a6ff
2397414	17Networks_LH_ContA_IPS_1	#e69424ff
2397670	17Networks_LH_ContA_PFCl_1	#e69524ff
2463206	17Networks_LH_ContA_PFCl_2	#e69525ff
4928136	17Networks_LH_ContB_PFClv_1	#88324bff
11635831	17Networks_LH_ContC_pCun_1	#778cb1ff
11701367	17Networks_LH_ContC_pCun_2	#778cb2ff
11766903	17Networks_LH_ContC_Cingp_1	#778cb3ff
196607	17Networks_LH_DefaultA_PFCd_1	#ffff02ff
130815	17Networks_LH_DefaultA_pCunPCC_1	#fffe01ff
131070	17Networks_LH_DefaultA_PFCm_1	#feff01ff
5193421	17Networks_LH_DefaultB_Temp_1	#cd3e4fff
5258957	17Networks_LH_DefaultB_Temp_2	#cd3e50ff
5324493	17Networks_LH_DefaultB_IPL_1	#cd3e51ff
5193677	17Networks_LH_DefaultB_PFCd_1	#cd3f4fff
5259213	17Networks_LH_DefaultB_PFCl_1	#cd3f50ff
5193422	17Networks_LH_DefaultB_PFCv_1	#ce3e4fff
5258958	17Networks_LH_DefaultB_PFCv_2	#ce3e50ff
8650752	17Networks_LH_DefaultC_Rsp_1	#000084ff
8585472	17Networks_LH_DefaultC_PHC_1	#000183ff
16394505	17Networks_LH_TempPar_1	#0929faff
